planet_name,host_star_name,star_number_per_system,discovery_method,year_of_discovery,discovery_facility,spectral_type,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,planet_rad_jupiter_rad,planet_mass_jupiter_mass,orbital_eccentricity,planet_equil_temp_k,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,distance_parsec,stellar_mass_imputation_method,stellar_luminosity_solar_lum,planet_orbital_velocity
Kepler-1532 b,Kepler-1532,1.0,Transit,2016.0,Kepler,GV,1.0936646016571427,0.020525,1.3206666666666669,1.435592502167052,0.117822125,,0.0,1677.25,5776.375,0.8691737142857142,0.9534,4.547871428571428,798.246,observed,0.7546134409334637,6.816649671992443
Kepler-1533 b,Kepler-1533,1.0,Transit,2016.0,Kepler,FV,308.547330909375,0.930792,3.146,8.825545631221637,0.2806676328571428,,0.0,306.0,6381.251111111112,1.598652,1.2343333333333335,4.285251428571429,966.801,observed,3.8020783381735517,1.1517676909779666
Kepler-1534 b,Kepler-1534,1.0,Transit,2016.0,Kepler,GV,5.716689442716667,0.0599,1.9275,4.958910882830212,0.1719602575,,0.0,955.0,5589.0,0.87725,0.88125,4.496,,observed,0.6737100752264781,3.8362874210594597
Kepler-1535 b,Kepler-1535,1.0,Transit,2016.0,Kepler,GV,138.944437059125,0.5176000000000001,2.276333333333333,4.7725241005789565,0.2030810749999999,,0.0,353.25,5981.111111111111,1.14381,1.0608,4.4235975,897.733,observed,1.5021908411096538,1.431840378958379
Kepler-1536 b,Kepler-1536,1.0,Transit,2016.0,Kepler,KV,364.7558746666666,0.8507,2.9925,8.02536700800415,0.26697327,,0.0,166.0,4369.852857142857,0.6401666666666667,0.6390000000000001,4.616283333333332,387.248,observed,0.13407358361684762,0.8668365134301128
Kepler-1537 b,Kepler-1537,1.0,Transit,2016.0,Kepler,KV,1.444453499942857,0.0245,1.18,1.240071166142943,0.10527255,,0.0,1800.0,5197.5,0.77,0.9132,4.284617142857143,517.292,observed,0.38819442347033095,6.106254388800114
Kepler-1538 b,Kepler-1538,1.0,Transit,2016.0,Kepler,GV,175.13891013675,0.6281749999999999,2.839833333333333,7.265347976313902,0.2533532616666666,,0.0,357.25,5872.111111111111,1.0556,1.0375,4.43798875,1125.3,observed,1.1886819597291212,1.2853716367509587
Kepler-1539 b,Kepler-1539,1.0,Transit,2016.0,Kepler,KV,133.3035577945,0.4774,2.652,6.379544739815001,0.23659587,,0.0,301.0,5131.888888888889,0.8032545714285716,0.8297142857142857,4.540015,748.326,observed,0.40151820492074153,1.3185544247901502
Kepler-154 b,Kepler-154,1.0,Transit,2014.0,Kepler,GV,33.04053884942,0.1960683333333333,2.247875,4.659798088058962,0.20058922,,0.0,545.25,5773.636363636364,1.0219714285714283,0.9322,4.464565555555556,915.212,observed,1.0412741066704936,2.1808500456632998
Kepler-154 c,Kepler-154,1.0,Transit,2014.0,Kepler,GV,62.30280059444445,0.2993866666666666,3.026125,8.197568238641171,0.26995040125,,0.0,441.25,5777.0,1.0172,0.9322,4.4716325,915.212,observed,1.0339797255947636,1.764872377178492
Kepler-154 d,Kepler-154,1.0,Transit,2016.0,Kepler,GV,20.54980802908,0.1434733333333333,3.743375,12.280055727114927,0.333961965,,0.0,643.8,5800.636363636364,1.0118285714285713,0.9322,4.475121111111111,915.212,observed,1.0399352283921748,2.549434972519539
Kepler-154 e,Kepler-154,1.0,Transit,2016.0,Kepler,GV,3.9327624558875,0.047372,1.4505714285714286,1.621813289379685,0.12941147,,0.0,1107.75,5786.666666666667,1.02044,0.9322,4.479722857142858,915.212,observed,1.0475594105714485,4.436787952576114
Kepler-154 f,Kepler-154,1.0,Transit,2016.0,Kepler,GV,9.919347002675,0.087764,1.3777142857142857,1.5167252268248905,0.1229115828571428,,0.0,814.0,5786.666666666667,1.0204400000000002,0.9322,4.479722857142858,915.212,observed,1.047559410571449,3.259652687331488
