planet_name,star_number_per_system,spectral_type,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,planet_equil_temp_k,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,stellar_luminosity_solar_lum,planet_orbital_velocity,habitable_zone_main_seq
Kepler-1717 b,1.0,FV,30.6528837225,0.20854,2.5482162633333334,5.913559052290516,768.8,6613.8475,1.4676599999999995,1.3121428571428573,4.21701,3.697919676257292,2.508827836388065,0
Kepler-1718 b,1.0,GV,135.18812659888894,0.4809633333333334,2.469074385714286,5.569483617227853,355.6,5747.608888888888,0.928119,0.8158571428571427,4.4273775,0.8434241028781603,1.302644948431655,0
Kepler-1719 b,1.0,GV,6.149535367222222,0.0677133333333333,3.450286604285714,10.517798027947444,1272.4,5714.251111111112,1.7951899999999998,1.082,3.973,3.0828186407692955,3.998080347408424,0
Kepler-172 b,1.0,GV,2.940304158327273,0.0393771428571428,2.337333333333333,5.018445823933591,1250.2,5537.833333333333,1.037125,0.940375,4.373872,0.9076357226468104,4.8876873850004765,0
Kepler-172 c,1.0,GV,6.389001111872728,0.0661957142857142,2.556555555555556,5.9503833506468045,965.2,5537.833333333333,1.037125,0.940375,4.373872,0.9076357226468104,3.7697329445256695,0
Kepler-172 d,1.0,GV,14.627027150554548,0.1149228571428571,2.3502222222222224,5.071155921549305,732.8,5537.833333333333,1.037125,0.940375,4.373872,0.9076357226468104,2.8610293567529688,0
Kepler-172 e,1.0,GV,35.118545309999995,0.2059857142857143,2.723111111111112,6.708480909335223,547.4,5547.727272727273,1.037125,0.939,4.377497777777777,0.9141394845552638,2.135449124819913,0
Kepler-1720 b,1.0,GV,12.70641888,0.10404,3.112642158333333,8.648593225306511,697.8,5514.625,0.8455999999999999,0.9327142857142856,4.5716,0.5933128301144504,2.9946710658431246,0
Kepler-1721 b,1.0,GV,4.592389667,0.05178,3.11856756,8.679901528117398,920.8,5305.25,0.7929897142857144,0.8838571428571428,4.58858,0.4469391251118516,4.132234877050735,0
Kepler-1722 b,1.0,GV,9.1785659155,0.08188,2.86719266,7.398915454245886,756.4,5478.75,0.7935,0.8706666666666667,4.5490075,0.5089904651081668,3.261459770326554,0
Kepler-1723 b,1.0,GV,39.75265676625,0.2261199999999999,2.7750776149999994,6.953808956424881,569.6,5972.4525,1.018333333333333,0.9742857142857142,4.4008875,1.183806137700709,2.076101885685988,0
Kepler-1724 b,1.0,FV,6.45443943375,0.06844,2.56112873,5.97062335068149,1001.2,6001.375,0.9475,1.0171428571428571,4.4656,1.044843743340906,3.8557685829745862,0
Kepler-1725 b,1.0,FV,16.719865027777775,0.133005,2.527645385714286,5.823186173475189,759.2,6100.333333333333,1.0944319999999998,1.128142857142857,4.42726,1.4882698402938015,2.912883055561015,0
Kepler-1726 b,1.0,GV,18.39628976777778,0.1291733333333333,2.4543742200000005,5.5066501181710334,620.2,5380.888888888889,0.804,0.8628,4.5390775,0.4862034594977612,2.584899239811632,0
Kepler-1727 b,1.0,GV,9.0293048545,0.07948,2.750536041666667,6.837430835007444,756.8,5334.0675,0.82,0.8223333333333332,4.5184975,0.4883729299657705,3.2171403087416506,0
Kepler-1728 b,1.0,KV,4.7830028485,0.0528,2.722503125,6.7056353840521945,881.6,5120.625,0.8102831428571429,0.8735714285714286,4.56278,0.4050003016143803,4.06824625563942,0
Kepler-1729 b,1.0,KV,4.220966188,0.0422999999999999,3.89404186,13.236134449216484,617.2,4059.25,0.5256666666666666,0.5611666666666667,4.67756,0.067312221626722,3.642929220509814,0
Kepler-173 b,1.0,GV,4.2637468885,0.0489999999999999,1.3867777777777777,1.5297094016156385,1189.6,5940.190909090909,1.0552,1.0133333333333334,4.379522222222223,1.2438299967390904,4.548341953860473,0
Kepler-173 c,1.0,GV,8.005788377381817,0.0748657142857142,2.573888888888889,6.027269499778134,963.4,5914.2625,1.0552,1.01,4.373655,1.222254938852184,3.673619609531132,0
Kepler-1730 b,1.0,GV,13.8101679975,0.11288,4.649207531666666,55.189824661061394,830.4,5851.75,1.142,1.0035714285714286,4.32212,1.3720347562450712,2.982226519694053,0
Kepler-1731 b,1.0,KV,21.76129351625,0.1377833333333333,2.63127951,6.285173479544771,494.6,4905.07125,0.7145714285714285,0.7501666666666665,4.605558571428571,0.2651932255306006,2.333756398307829,0
Kepler-1732 b,1.0,GV,32.312278775,0.2012,4.09903273,39.7281569277377,604.2,5911.5575,1.494,1.0445714285714287,4.31287,2.445674851081812,2.2789251808792828,0
Kepler-1733 b,1.0,FV,9.229605410857143,0.09002,3.63582354,11.618372985844733,976.0,6344.958571428571,1.1181666666666668,1.2243333333333333,4.384248571428571,1.818101378235871,3.6885469559971495,0
Kepler-1734 b,1.0,FV,6.796853019249999,0.07132,3.08851092,8.52164362957105,983.2,6022.0425,0.9666666666666668,1.05,4.4584175,1.102601556058082,3.83763765037108,0
Kepler-1735 b,1.0,KV,7.7181852775,0.0624,1.19429134,1.259631080860719,505.4,3961.0,0.5173333333333333,0.54178,4.735282857142857,0.0591085279851313,2.947095257543129,0
Kepler-1736 b,1.0,FV,37.81021805625,0.22004,3.8765856,13.12362519304784,566.6,6016.515,0.9791666666666666,0.976,4.35504,1.1271536098811412,2.106439910335073,0
Kepler-1737 b,1.0,KV,64.6173060675,0.2939999999999999,5.204166666666667,74.07584653730986,375.4,5024.833333333333,0.8809999999999999,0.834,4.489999999999999,0.4439441242863332,1.6845516991777572,0
Kepler-1738 b,1.0,FV,7.674671643571429,0.07788,2.5191214716666663,5.78593177408506,952.4,6008.285714285715,1.001,1.0741666666666665,4.468741428571428,1.1715486058510387,3.7144784938729143,0
Kepler-1739 b,1.0,GV,7.34372353325,0.07042,2.43056832,5.405612158238998,847.8,5741.5,0.7644,0.8715,4.5822225,0.569682243880787,3.518525228394643,0
Kepler-174 b,1.0,KV,13.98177725219091,0.0964666666666666,2.054333333333333,3.9271250875329833,516.4,4715.083333333333,0.6699999999999999,0.6493333333333333,4.616263,0.1990659342402095,2.594897435637842,0
Kepler-174 c,1.0,KV,44.00042637285,0.20695,1.5616666666666663,2.967259649452973,352.4,4715.769230769231,0.682,0.6493333333333333,4.60944,0.2063805555204597,1.7716426120953326,0
Kepler-174 d,1.0,KV,247.353784877,0.6545500000000001,2.2774444444444444,4.776951194596394,197.8,4715.769230769231,0.6820000000000002,0.6493333333333333,4.60944,0.2063805555204597,0.9961790847936683,0
Kepler-1740 b,1.0,GV,8.172429888124999,0.08066,3.4772023566666665,10.674239282092223,883.4,5819.645,0.918026,1.00575,4.515305,0.8673328311769541,3.5317576599429525,0
Kepler-1741 b,1.0,KV,2.757585292714286,0.03018,1.167166666666667,1.2225671964516678,651.0,3763.73,0.451,0.4811666666666667,4.791992857142858,0.0366198681829787,3.993586844264236,0
Kepler-1742 b,1.0,GV,49.478095095,0.25892,1.9847068833333328,5.325730148455297,462.4,5723.625,0.855212,0.9431666666666666,4.55333,0.7042423044247332,1.908914191176312,0
Kepler-1743 b,1.0,GV,7.6496950742222225,0.0820666666666666,1.6396957242857142,3.342122503301403,1222.8,5742.971111111111,1.613,1.246,3.947795,2.539247954982572,3.8971812839709497,0
Kepler-1744 b,1.0,GV,37.10105393222222,0.2114416666666666,3.516648577142857,10.905486507078468,528.4,5850.342222222223,0.8616666666666667,0.8866666666666667,4.518267499999999,0.7803573420617455,2.048141173527822,0
Kepler-1745 b,1.0,GV,3.0161788068571425,0.04138,1.781454868333333,4.091575518483703,1331.8,5848.102857142857,1.4,1.0066666666666666,4.35925,2.0568656767104425,4.933130279464811,0
Kepler-1746 b,1.0,FV,321.21260097500004,0.91237,8.93504475,179.5143846553019,282.8,6077.99875,1.2466666666666666,1.0975,4.349781428571428,1.9029745082787988,1.0969624211532432,0
Kepler-1747 b,1.0,GV,6.23031734575,0.0654,3.915846666666667,13.37730988791966,864.2,5387.0,0.8649999999999999,0.983,4.523835,0.5653403287068601,3.877598768040963,0
Kepler-1748 b,1.0,GV,5.8234935105000005,0.062,2.8571250283333334,7.349631532622756,948.6,5645.5,0.8640000000000001,0.92,4.553155,0.680341529264362,3.8527697279061672,0
Kepler-1749 b,1.0,KV,14.533622324444444,0.0972,1.41185969,1.5657737234143383,427.6,4078.33,0.5631999999999999,0.5776,4.6936675,0.0787307880068752,2.4381220590684998,0
Kepler-175 b,1.0,GV,11.903525492854545,0.1041128571428571,2.804444444444444,7.09429098970636,822.0,5916.333333333333,1.071125,1.052625,4.391368999999999,1.2611905280474136,3.180238140267952,0
Kepler-175 c,1.0,GV,34.0351373855,0.2098642857142857,3.212777777777778,9.184876172829531,579.6,5916.333333333333,1.071125,1.052625,4.391368999999999,1.2611905280474136,2.239971823561837,0
Kepler-1750 b,1.0,GV,205.91272466125,0.65944,6.00434637,69.97836596890218,295.8,5648.75,0.9165,0.9724,4.42302,0.7672982468680557,1.2145343875406156,0
Kepler-1751 b,1.0,FV,7.017394483285715,0.0715599999999999,1.6506956300000002,3.3970933703980277,985.0,6008.285714285715,0.9725,0.974,4.448358571428572,1.105786736901866,3.689939932616554,0
Kepler-1752 b,1.0,GV,56.35955552625,0.2704399999999999,4.943434104999999,64.776135706534,419.2,5388.5,0.8224999999999999,0.8283333333333333,4.546632499999999,0.5117209670958882,1.7504192852603808,0
Kepler-1753 b,1.0,KV,16.0045724125,0.11732,2.217796795,4.542043904528118,582.0,5129.25,0.7665000000000001,0.8484285714285714,4.6135175,0.3648628421836573,2.6896551393788144,0
Kepler-1754 b,1.0,KV,8.19593174925,0.0720399999999999,2.229994181666666,4.589623777679963,669.4,4660.0,0.7525,0.734,4.5394275,0.2395777739131895,3.192538636584097,0
Kepler-1755 b,1.0,FV,24.8111917925,0.1674399999999999,5.91688317,103.55300702758656,633.8,6124.25,0.9308333333333332,1.0141666666666664,4.474645000000001,1.0935668773231242,2.4615011465842707,0
Kepler-1756 b,1.0,KV,2.355752498,0.03136,1.33533324,1.456352675000414,1076.2,4941.166666666667,0.77825,0.74875,4.537,0.3239262330561685,4.8871466888342345,0
Kepler-1757 b,1.0,GV,19.6564533725,0.1335599999999999,2.744433751666667,6.808637748762424,549.0,5251.125,0.7404999999999999,0.8246666666666668,4.5956425,0.374067004470075,2.485283858008039,0
Kepler-1758 b,1.0,GV,9.977249042142857,0.08978,2.57059831,6.012637395380193,841.4,5763.571428571428,1.616,0.9801666666666669,4.33341,2.5854686849966075,3.304723646233833,0
Kepler-1759 b,1.0,KV,3.720210796142857,0.0427199999999999,0.9872965166666666,0.9835170342572084,944.8,4990.285714285715,0.797,0.76,4.538564285714285,0.3534338476298083,4.2185787250565765,0
Kepler-176 b,1.0,KV,5.433115323341667,0.05669,1.4277777777777776,290.537,884.0,5141.333333333333,0.8295151428571429,0.8397499999999999,4.506535,0.4313616525833208,3.8494329705387536,0
Kepler-176 c,1.0,KV,12.75945549769231,0.1002371428571428,2.521272727272727,12.165,664.8,5149.016666666666,0.8264862857142858,0.8335714285714285,4.503544444444445,0.4307827886452405,2.884244376936595,0
